"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","42","","test_area","","","","test_init",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","10","","test_login","","","","test_logi_api[data2]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","20","","test_Add","","","","test_add_api[data0]",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","17","","test_login","","","","test_logi_api[data0]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:30 CST 2021","88","","test_area","","","","test_del_api[data0]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","10","","test_Add","","","","test_add_api[data2]",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","18","","test_login","","","","test_logi_api[data1]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","158","","test_area","","","","test_add_api[data0]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","10","","test_Add","","","","test_add_api[data1]",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","21","","test_zhuce","","","","test_logi_api[data1]",""
"passed","Sun Jan 31 17:17:29 CST 2021","Sun Jan 31 17:17:29 CST 2021","181","","test_area","","","","test_edit_api[data0]",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","12","","test_zhuce","","","","test_logi_api[data0]",""
"passed","Sun Jan 31 17:17:30 CST 2021","Sun Jan 31 17:17:30 CST 2021","12","","test_zhuce","","","","test_logi_api[data2]",""
